ID;LONGITUDE;LATITUDE
410;-51194859;-29982555
411;-51194494;-29992954
412;-51194222;-29993059
413;-51155621;-29987194
414;-51155695;-29985095
415;-51133478;-29984745
416;-51132689;-29984700
417;-51135841;-29990194
418;-51135628;-29990273
419;-51120468;-29992268
420;-51120338;-29992092
421;-51180220;-29971694
422;-51178722;-29971856
423;-51195182;-29977415
424;-51195066;-29977065
425;-51194595;-29979320
426;-51194822;-29980028
427;-51196767;-29986284
428;-51196852;-29986643
429;-51201377;-30033728
430;-51201516;-30034280
431;-51172136;-30130561
432;-51171743;-30137267
433;-51133756;-30146450
434;-51135866;-30145824
435;-51146160;-30154792
436;-51145384;-30155240
437;-51141969;-30152440
438;-51142177;-30152891
439;-51112587;-30032900
440;-51111445;-30032966
441;-51127230;-30078119
442;-51128594;-30078978
443;-51125780;-30085302
444;-51127037;-30085035
445;-51125219;-30088433
446;-51125531;-30088820
447;-51131014;-30092103
448;-51130683;-30092430
449;-51106153;-30118789
450;-51105825;-30118773
451;-51100703;-30120757
452;-51100679;-30119535
453;-51122016;-30086526
454;-51122876;-30086555
455;-51102760;-30122863
456;-51100572;-30121756
457;-51113904;-30017023
458;-51113998;-30018061
459;-51100455;-30025409
460;-51100723;-30025702
461;-51136588;-30032658
462;-51138848;-30032536
463;-51143694;-30032020
464;-51146528;-30028626
465;-51129344;-30195247
466;-51118706;-30190017
467;-51127438;-30151581
468;-51127138;-30151105
469;-51130213;-30150846
470;-51127769;-30152074
471;-51124782;-30146588
472;-51125172;-30146811
473;-51125765;-30145684
474;-51128090;-30153810
475;-51128299;-30154148
476;-51192485;-30045366
477;-51192601;-30045877
478;-51224791;-30077469
479;-51225704;-30078023
480;-51085219;-30238597
481;-51084387;-30236296
482;-51224887;-30054208
483;-51223385;-30054340
484;-51192254;-29998685
485;-51190718;-29999008
486;-51198563;-30003183
487;-51197428;-30003530
488;-51191678;-30005178
489;-51191698;-30004338
490;-51138092;-30263742
491;-51104728;-30259948
492;-51093709;-30240817
493;-51060947;-30259233
494;-51052119;-30229718
495;-51014107;-30200162
496;-51042929;-30184276
497;-51115640;-30001555
498;-51114937;-30002106
499;-51067418;-30179546
500;-51115004;-30082085
501;-51115010;-30082878
502;-51229682;-30033486
503;-51227151;-30033712
504;-51111183;-30033613
505;-51111113;-30032608
506;-51104765;-30026329
507;-51105143;-30026746
508;-51114908;-30086279
509;-51115640;-30085098
510;-51178707;-30037459
511;-51177244;-30035201
512;-51187412;-30038466
513;-51187732;-30037627
514;-51186107;-30041781
515;-51183478;-30041002
516;-51182561;-30043346
517;-51079465;-30163833
518;-51067380;-30178271
519;-51189272;-30050449
520;-51188290;-30050865
521;-51195516;-30053585
522;-51194222;-30052182
523;-51195146;-30058099
524;-51194664;-30058392
525;-51199522;-30048774
526;-51198731;-30048355
527;-51193464;-30050995
528;-51193612;-30050867
529;-51206418;-30052014
530;-51175219;-30009632
531;-51174202;-30009434
532;-51170855;-30010112
533;-51170433;-30010744
534;-51188971;-30005179
535;-51187670;-30005196
536;-51172378;-30011609
537;-51173421;-30012197
538;-51151258;-30034013
539;-51151255;-30033877
540;-51194652;-30062213
541;-51194180;-30062567
542;-51194021;-30071572
543;-51193320;-30071451
544;-51202157;-30125672
545;-51202054;-30126642
