ID;Longitude;Latitude;ORDEM;DATA_IMPLA;PREDIAL;CDL1;CDL2;LOG1;LOG2;LOCAL;LOCAL_SIG;TIPO;OBSERVACAO;CODIGO
1681;-51.206940;-30.001870;38;;0;7878168;8081309;R VOLUNTARIOS DA PATRIA;AC UM AV CASTELO BRANCO-VOLUNTARIOS;R VOLUNTARIOS DA PATRIA & AC UM AV CASTELO BRANCO-VOLUNTARIOS;R VOLUNTARIOS DA PATRIA & AC UM AV CASTELO BRANCO-VOLUNTARIOS;CRUZAMENTO;;VOL-ACS
1682;-51.206178;-29.999215;39;;0;7878168;8081184;R VOLUNTARIOS DA PATRIA;AC TRES AV CASTELO BRANCO-VOLUNTARI;R VOLUNTARIOS DA PATRIA & AC TRES AV CASTELO BRANCO-VOLUNTARIOS;R VOLUNTARIOS DA PATRIA & AC TRES AV CASTELO BRANCO-VOLUNTARIOS;CRUZAMENTO;SAIDA CASTELO BR X VOLUNT;VOL-SER
1690;-51.102886;-30.020727;40;19990731;0;8978579;8978561;R WOLFRAM METZLER;AV ADELINO FERREIRA JARDIM;R WOLFRAM METZLER & AV ADELINO FERREIRA JARDIM;R WOLFRAM METZLER & AV ADELINO FERREIRA JARDIM;CRUZAMENTO;;ADE-WOL
1720;-51.171973;-30.015287;41;;2136;8178147;;AV PLINIO BRASIL MILANO;;2136 AV PLINIO BRASIL MILANO;2136 AV PLINIO BRASIL MILANO;PEDESTRE;PEDESTRE NS APÓS CRUZ LIBERO BADARO;PLI-BDR
1721;-51.171914;-30.014521;42;;;8178147;8379653;AV PLINIO BRASIL MILANO;R JOSE DA SILVA;AV PLINIO BRASIL MILANO & R JOSE DA SILVA;AV PLINIO BRASIL MILANO & R JOSE DA SILVA;CRUZAMENTO;ROTULA;PLI-GRE
1722;-51.171721;-30.014431;43;;;8178147;8379653;AV PLINIO BRASIL MILANO;R JOSE DA SILVA;AV PLINIO BRASIL MILANO & R JOSE DA SILVA;AV PLINIO BRASIL MILANO & R JOSE DA SILVA;CRUZAMENTO;ROTULA;PLI-GRE
1723;-51.171931;-30.014353;44;;;8178147;8379653;AV PLINIO BRASIL MILANO;R JOSE DA SILVA;AV PLINIO BRASIL MILANO & R JOSE DA SILVA;AV PLINIO BRASIL MILANO & R JOSE DA SILVA;CRUZAMENTO;ROTULA;PLI-GRE
1724;-51.173175;-30.017679;45;;1817;8178147;;AV PLINIO BRASIL MILANO;;1817 AV PLINIO BRASIL MILANO;1859 AV PLINIO BRASIL MILANO;PEDESTRE;PED APÓS CRUZ INDUSTRIARIOS;PLI-IDU
1725;-51.207959;-30.048155;46;;564;7975014;;AV PRINCESA ISABEL;;564 AV PRINCESA ISABEL;564 AV PRINCESA ISABEL;PEDESTRE;ESQ SANTANA;PRI-SAN
1726;-51.195093;-30.040415;47;;1315;7977218;;AV PROTASIO ALVES;;1315 AV PROTASIO ALVES;1315 AV PROTASIO ALVES;PEDESTRE;EST 07 VICENTE DA FONTOURA CB;PRO-E07CB
1727;-51.195223;-30.040344;48;;1296;7977218;;AV PROTASIO ALVES;;1296 AV PROTASIO ALVES;1296 AV PROTASIO ALVES;PEDESTRE;EST 07 VICENTE DA FONTOURA BC;PRO-E07BC
1728;-51.104475;-30.041552;49;;;7977218;8976029;AV PROTASIO ALVES;AV DELEGADO ELY CORREA PRADO;AV PROTASIO ALVES & AV DELEGADO ELY CORREA PRADO;AV PROTASIO ALVES & AV DELEGADO ELY CORREA PRADO;CRUZAMENTO;;PRO-ELY
1729;-51.179101;-30.042170;50;;3017;7977218;;AV PROTASIO ALVES;;3017 AV PROTASIO ALVES;3017 AV PROTASIO ALVES;PEDESTRE;PED CRUZ IVO CORSEUIL;PRO-IVO
1730;-51.179244;-30.042111;51;;1;8276131;;AV MONTENEGRO;;1 AV MONTENEGRO;1 AV MONTENEGRO;PEDESTRE;PED CRUZ IVO CORSEUIL;PRO-IVO
